game_date,release_speed,release_spin_rate,vx0,vy0,vz0,balls,strikes,zone,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,release_extension,ax,ay,az,CH,FF,KC,SL,ball,called_strike,double,field_error,field_out,home_run,single,strikeout,strikeout_looking,swinging_strike,walk
2020-10-09,98.6,2641.0,9.726622788222487,-143.2401567292276,-1.1550356355421196,1,1,12.0,-2.04,5.48,-1.07,1.47,0.6,4.29,6.6,-17.079195911758784,36.00396593447729,-11.98692733549579,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,90.0,2674.0,8.027099172016896,-130.87807323874196,-6.535074140320952,0,1,14.0,-1.94,5.56,0.41,0.51,1.64,1.0,6.6,3.3300993740460583,23.91991534010424,-25.14318292038176,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,98.9,2478.0,8.090918139881348,-143.75973662961292,-5.4184520032856245,0,0,5.0,-2.15,5.37,-1.19,1.34,-0.21,2.54,6.5,-18.367073267568852,33.19098930169595,-12.438064575819382,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-09,99.1,2653.0,6.454052675030949,-144.17714497879828,-4.522465714738171,3,2,1.0,-2.04,5.43,-1.11,1.45,-0.64,3.03,6.6,-17.000795647377828,34.57945978950695,-11.155728124012048,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-10-09,92.2,2659.0,7.803844607536251,-133.61594929659262,-12.79187776549606,2,2,14.0,-2.02,5.53,0.31,0.47,1.3,-1.4,6.7,1.9750008816117948,28.87679536724284,-23.936740883430947,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,99.7,2641.0,9.715498950581283,-144.66963371367785,-8.644684166981726,2,2,9.0,-2.03,5.41,-1.31,1.41,0.36,1.52,6.7,-20.669203391817536,34.28007287856072,-10.512190965596329,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,90.3,1899.0,6.320720668325249,-131.28385165311005,-6.800003174716341,1,2,13.0,-2.14,5.34,-1.32,0.72,-0.75,0.86,6.8,-16.643506662638654,26.573092121422864,-22.595082831194603,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,99.5,2653.0,5.855526598499179,-144.75291313133508,-4.636773069757684,1,2,11.0,-1.98,5.55,-1.02,1.61,-0.74,3.28,6.5,-15.7712067779908,32.87869024337507,-8.5780687033372,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,99.0,2431.0,4.831103659843677,-144.17965278436705,-4.359803555340736,0,2,11.0,-2.11,5.49,-0.95,1.49,-1.16,3.2,6.5,-14.400320172799718,31.643703792765063,-10.494911291554528,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-10-09,85.0,2866.0,4.922116377755985,-123.60328716574152,-0.7658382024858124,0,2,14.0,-1.9,5.7,0.85,-0.72,0.92,2.03,6.4,7.564739038065166,27.3690991096984,-39.51305532309775,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,91.8,2728.0,6.907459415236003,-133.5911725960519,-4.906854774110105,0,2,14.0,-2.22,5.3,0.43,0.51,0.86,1.51,6.7,3.741180879594742,27.79968661597865,-25.22306238528226,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,98.8,2646.0,8.294459243052367,-143.5702617572366,-2.2162357561146853,0,1,11.0,-2.13,5.48,-1.13,1.45,-0.06,3.9,6.7,-17.523480196010734,34.50713713911845,-11.848832398163466,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,98.3,2468.0,8.893695572483747,-142.76280100317035,-4.0239306299356175,0,0,2.0,-2.17,5.39,-1.16,1.49,0.09,3.16,6.8,-18.0238707125534,35.05591334614478,-11.030087129552925,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,83.8,2792.0,2.056138448378164,-121.99140052329798,0.3515761603000944,1,2,7.0,-1.93,5.61,0.74,-1.02,-0.4,2.08,6.3,6.8922554332275725,27.36886805310204,-42.54543003690696,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2020-10-09,98.8,2646.0,6.779351455425841,-143.53117690495498,-6.036290414571579,1,2,4.0,-2.01,5.51,-1.04,1.73,-0.42,2.76,6.6,-15.987899947271323,36.62751974394634,-7.100476940751262,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,89.1,2638.0,6.719037780825592,-129.7682880531881,-2.204277114772743,1,2,14.0,-2.01,5.51,0.59,0.2,1.21,2.36,6.6,5.4227476661147564,25.33419229245373,-29.620318447351607,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,97.9,2501.0,8.419380115527847,-142.1620119705588,-6.043957600350682,1,2,5.0,-2.05,5.37,-1.11,1.62,0.11,2.46,6.6,-17.037921724453533,36.15965911632799,-9.09500386708621,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-09,86.3,2778.0,4.187557719621808,-125.6407966819524,-1.595904474601071,1,2,14.0,-1.92,5.55,0.42,-0.98,0.2,1.41,6.5,3.531372591927649,27.47388027036864,-42.34870489346304,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
