game_date,release_speed,release_spin_rate,vx0,vy0,vz0,balls,strikes,zone,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,release_extension,ax,ay,az,CH,CU,FF,SL,ball,called_strike,double,field_error,field_out,home_run,single,strikeout,strikeout_looking,swinging_strike,walk
2020-09-26,97.5,2593.0,3.2119373314889192,-141.9113971938652,-3.372222601730824,1,1,1.0,-1.15,5.45,-0.94,1.38,-0.78,3.33,7.0,-13.473766850793792,35.0022767848074,-12.985332286597416,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,98.1,2604.0,9.111929859858211,-142.40365638315703,-6.402608201348947,0,1,14.0,-1.07,5.46,-0.96,1.39,1.43,2.27,7.1,-15.207820488616482,33.69356825077759,-11.979861579399197,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,96.2,2404.0,5.989886334460497,-139.98935343440152,-4.743172358124904,0,0,6.0,-1.1,5.41,-0.66,1.44,0.56,2.77,6.9,-10.08035630062436,31.531888551335133,-12.323397253857651,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,99.3,2583.0,4.012903860994184,-144.5325421885136,-5.3832315696896735,1,2,2.0,-1.02,5.39,-0.61,1.44,-0.09,2.7,7.0,-9.50980512575638,34.47180161354648,-10.966692321646054,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2020-09-26,93.1,2616.0,5.14700974190404,-135.53415234900956,-6.723573467235105,1,1,14.0,-1.07,5.46,0.13,0.57,1.03,1.12,6.8,0.5460791688034002,27.711018635242866,-23.960451914228063,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,93.3,2660.0,5.399251003009923,-135.6532100161474,-7.146033079369212,0,1,14.0,-1.02,5.45,0.08,0.61,1.12,0.98,6.9,-0.1549834525416829,28.377610248167212,-23.34339276943774,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-09-26,92.0,2634.0,5.068949633288456,-133.85809082185477,-5.0449889409469,0,0,14.0,-1.06,5.46,0.15,0.49,1.05,1.62,6.9,0.7709931616988603,28.049888701307538,-25.37522084570625,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,97.7,2475.0,7.053462297218983,-142.09454325052235,-6.146914193182943,0,2,14.0,-1.18,5.32,-0.59,1.27,0.9,2.12,7.0,-9.5104446888161,31.254263219438982,-13.737862585274144,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-09-26,97.1,2561.0,6.145139532900623,-141.1007647516649,-7.441727410937992,0,1,9.0,-1.22,5.37,-0.68,1.38,0.47,1.74,7.0,-10.460687338780662,31.662553884874303,-12.183080381709768,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-26,96.4,2419.0,6.555996417783796,-140.18619289427593,-4.916544359874667,0,0,12.0,-1.06,5.46,-0.43,1.29,1.01,2.64,6.9,-7.106866143652312,30.549752045335204,-14.184577129553048,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
